fold,epoch,step,val_auroc,val_pr_auc,val_loss
1,0,95,0.6211556196212769,0.4746879339218139,0.8137190937995911
1,1,191,0.6255824565887451,0.4803272783756256,0.8088090419769287
1,2,287,0.6330382227897644,0.497170478105545,0.8121869564056396
1,3,383,0.6519105434417725,0.5307931900024414,0.8018446564674377
1,4,479,0.6656570434570312,0.5504202842712402,0.7953866124153137
1,5,575,0.6637930870056152,0.5432553887367249,0.8063706755638123
1,6,671,0.6815004944801331,0.5527640581130981,0.7916851043701172
1,7,767,0.679170548915863,0.5564180612564087,0.7948856353759766
1,8,863,0.66146320104599,0.5389752984046936,0.8497203588485718
1,9,959,0.678937554359436,0.5633004307746887,0.798144519329071
1,10,1055,0.680801510810852,0.5619814991950989,0.7956075668334961
1,11,1151,0.6861603260040283,0.5575668811798096,0.791709840297699
1,12,1247,0.67707359790802,0.5622563362121582,0.7946659922599792
1,13,1343,0.6763746738433838,0.5491510033607483,0.7968024611473083
1,14,1439,0.6826654076576233,0.5712612271308899,0.8314363360404968
1,15,1535,0.6719478368759155,0.5702910423278809,0.83018559217453
1,16,1631,0.6735787391662598,0.57147616147995,0.8218295574188232
1,17,1727,0.6733457446098328,0.569999098777771,0.8524777293205261
1,18,1823,0.6735787391662598,0.5711585879325867,0.8352832198143005
1,19,1919,0.6658900380134583,0.5797863602638245,0.9155341982841492
1,20,2015,0.6689189076423645,0.5904223918914795,0.8446239233016968
1,21,2111,0.6703168749809265,0.5917910933494568,0.9212056398391724
1,22,2207,0.6644920706748962,0.5849757790565491,0.9371623992919922
1,23,2303,0.6542404294013977,0.5945344567298889,0.9138912558555604
1,24,2399,0.6444547772407532,0.5785018801689148,0.881479024887085
1,25,2495,0.6439887881278992,0.5568282604217529,1.019259333610535
1,26,2591,0.6360670924186707,0.5551315546035767,1.0210533142089844
1,27,2687,0.6202237010002136,0.5405946373939514,1.0113922357559204
1,28,2783,0.6267474293708801,0.5603346228599548,1.094145655632019
1,29,2879,0.6218546032905579,0.5454860329627991,1.142691135406494
1,30,2975,0.6213886141777039,0.5292758941650391,1.144251585006714
1,31,3071,0.6358340978622437,0.5306861400604248,1.2034655809402466
1,32,3167,0.662628173828125,0.5489751696586609,1.264857530593872
1,33,3263,0.6465517282485962,0.5347301959991455,1.217812418937683
1,34,3359,0.6449207663536072,0.5307869911193848,1.3279303312301636
1,35,3455,0.500232994556427,0.3879750072956085,1.265109300613403
1,36,3551,0.6302422881126404,0.5256980657577515,1.5309237241744995
1,37,3647,0.6197577118873596,0.5205375552177429,1.556968331336975
1,38,3743,0.6421248912811279,0.5422210097312927,1.60908043384552
1,39,3839,0.6342031955718994,0.5183413624763489,1.9035621881484983
1,40,3935,0.6181267499923706,0.4954057335853576,1.759191632270813
1,41,4031,0.6309412717819214,0.4976537227630615,1.966996192932129
1,42,4127,0.6409599184989929,0.518640398979187,2.116799831390381
1,43,4223,0.6174277663230896,0.4698885679244995,1.9619264602661133
