fold,auroc,pr_auc,brier,accuracy,sensitivity,specificity,precision,recall,f1,threshold,confusion_matrix,n,n_negative,n_positive
1,0.6542404473438956,0.5945344550958285,0.24560238624873915,0.6526315789473685,0.4864864864864865,0.7586206896551724,0.5625,0.4864864864864865,0.5217391304347826,0.5,"[[44, 14], [19, 18]]",95,58,37
2,0.6282638570774164,0.5920710844244249,0.332601805877428,0.6458333333333334,0.4594594594594595,0.7627118644067796,0.5483870967741935,0.4594594594594595,0.5,0.5,"[[45, 14], [20, 17]]",96,59,37
3,0.7745009074410164,0.7515299621452225,0.2146897315979004,0.6145833333333334,0.8157894736842105,0.4827586206896552,0.5081967213114754,0.8157894736842105,0.6262626262626263,0.5,"[[28, 30], [7, 31]]",96,58,38
4,0.7034936479128856,0.629224134182302,0.22347759703795114,0.6458333333333334,0.7368421052631579,0.5862068965517241,0.5384615384615384,0.7368421052631579,0.6222222222222222,0.5,"[[34, 24], [10, 28]]",96,58,38
5,0.6177404718693285,0.5600939749364208,0.2430969476699829,0.5833333333333334,0.7105263157894737,0.5,0.48214285714285715,0.7105263157894737,0.574468085106383,0.5,"[[29, 29], [11, 27]]",96,58,38
