fold,epoch,step,val_auroc,val_pr_auc,val_loss
2,8,863,0.6177278757095337,0.5173586010932922,0.0832879468798637
2,9,959,0.6142922639846802,0.4834787547588348,0.1045017316937446
2,10,1055,0.6232249140739441,0.5081692934036255,0.1636807471513748
2,11,1151,0.6481905579566956,0.514571487903595,0.1476846784353256
2,12,1247,0.6316995024681091,0.5215687155723572,0.1782091856002807
2,13,1343,0.6197893023490906,0.5000646114349365,0.2275456637144088
2,14,1439,0.6722400188446045,0.5453222393989563,0.2056489139795303
2,15,1535,0.6399450302124023,0.5221623182296753,0.3159375786781311
2,16,1631,0.6438387632369995,0.5147793292999268,0.3045125305652618
2,17,1727,0.6527714133262634,0.5058172345161438,0.3245068192481994
2,18,1823,0.6225377917289734,0.4759802520275116,0.4506288468837738
2,19,1919,0.6392579078674316,0.4965696632862091,0.3747794330120086
2,20,2015,0.6527714133262634,0.5214309096336365,0.3748301565647125
2,21,2111,0.6530004739761353,0.515988290309906,0.3935118615627289
2,22,2207,0.6376546025276184,0.5095717310905457,0.4312976896762848
2,23,2303,0.6555199027061462,0.52363520860672,0.3616402149200439
3,0,95,0.5735027194023132,0.4512609243392944,0.0683977454900741
3,1,191,0.5685117840766907,0.4525958299636841,0.0687241926789283
3,2,287,0.5973230600357056,0.5092631578445435,0.0670125409960746
3,3,383,0.5748639106750488,0.4831435084342956,0.0685839280486106
3,4,479,0.5719146728515625,0.4945951998233795,0.0692414194345474
3,5,575,0.5791742205619812,0.5194014310836792,0.0716680660843849
3,6,671,0.5998185276985168,0.5693055987358093,0.1094933077692985
3,7,767,0.5880217552185059,0.5285075306892395,0.0745597183704376
3,8,863,0.5828039646148682,0.5109102129936218,0.100366860628128
3,9,959,0.602087140083313,0.5381452441215515,0.1000792756676673
3,10,1055,0.6088929176330566,0.5473504066467285,0.1378432065248489
3,11,1151,0.6395190358161926,0.552599310874939,0.1764804124832153
3,12,1247,0.6293103694915771,0.5455000996589661,0.2062583714723587
3,13,1343,0.6073048710823059,0.5321374535560608,0.2321136742830276
3,14,1439,0.6177404522895813,0.542382538318634,0.2519735991954803
3,15,1535,0.6370235681533813,0.5459654331207275,0.2484640628099441
3,16,1631,0.6041288375854492,0.526540994644165,0.341527372598648
3,17,1727,0.6145644187927246,0.5240440964698792,0.342403769493103
3,18,1823,0.6265880465507507,0.5099095106124878,0.4865139424800873
3,19,1919,0.6211434006690979,0.5425336360931396,0.3469846248626709
3,20,2015,0.6281760334968567,0.5277801752090454,0.4234832525253296
3,21,2111,0.6308983564376831,0.5198975801467896,0.5069758296012878
3,22,2207,0.6098003387451172,0.5297924876213074,0.4847849309444427
4,0,95,0.5095281600952148,0.4072201251983642,0.0685372278094291
4,1,191,0.5462794899940491,0.4340892732143402,0.0702928826212883
4,2,287,0.5483212471008301,0.4247090518474579,0.0704989582300186
4,3,383,0.5823502540588379,0.4895180761814117,0.0682413950562477
4,4,479,0.5524047017097473,0.4551140964031219,0.0802896246314048
4,5,575,0.5349364876747131,0.4387550354003906,0.0735702812671661
4,6,671,0.5614791512489319,0.4515823721885681,0.0919727087020874
4,7,767,0.5358439087867737,0.4510594308376312,0.0814128220081329
4,8,863,0.5651088953018188,0.4804342091083526,0.1525404751300811
4,9,959,0.5757713317871094,0.5091750621795654,0.1337858438491821
4,10,1055,0.5766787528991699,0.5096824169158936,0.159109428524971
4,11,1151,0.5957350134849548,0.5077283978462219,0.1882206797599792
4,12,1247,0.5850725769996643,0.4895735681056976,0.2360039502382278
4,13,1343,0.5676043629646301,0.4696983397006988,0.2989934682846069
4,14,1439,0.5857532024383545,0.4871878921985626,0.3026740849018097
4,15,1535,0.594373881816864,0.495209276676178,0.3168035447597503
4,16,1631,0.5812159776687622,0.4802786409854889,0.3523450791835785
4,17,1727,0.5612522959709167,0.4681408405303955,0.3970528841018677
4,18,1823,0.5739564299583435,0.4764764606952667,0.3682767152786255
4,19,1919,0.5737295746803284,0.4738357961177826,0.388185054063797
4,20,2015,0.5660163164138794,0.4584110379219055,0.419216901063919
4,21,2111,0.5571687817573547,0.4599509537220001,0.4324768483638763
4,22,2207,0.5528584122657776,0.4580756425857544,0.4521492421627044
4,23,2303,0.5494555234909058,0.466247409582138,0.4960263669490814
5,0,95,0.5691923499107361,0.457613468170166,0.0674964785575866
5,1,191,0.5841651558876038,0.4871118664741516,0.0680640116333961
5,2,287,0.5952813029289246,0.524122953414917,0.0670984759926796
5,3,383,0.5798547863960266,0.5153960585594177,0.0754982754588127
5,4,479,0.6277223229408264,0.5470365881919861,0.0665075927972793
5,5,575,0.5952813029289246,0.5015138387680054,0.0722339078783989
5,6,671,0.6259074211120605,0.5362333059310913,0.0732950642704963
5,7,767,0.602087140083313,0.4849169552326202,0.0909434482455253
5,8,863,0.6265880465507507,0.5180596113204956,0.1490931361913681
5,9,959,0.6107078194618225,0.4928321838378906,0.1793035715818405
5,10,1055,0.5986841917037964,0.4697557687759399,0.2141947597265243
5,11,1151,0.5875680446624756,0.4616672396659851,0.2864916324615478
5,12,1247,0.5871143341064453,0.459452360868454,0.3374879062175751
5,13,1343,0.5741832852363586,0.4441474974155426,0.3827293813228607
5,14,1439,0.607758641242981,0.4764111042022705,0.4987235069274902
5,15,1535,0.6100271940231323,0.4837654829025268,0.4009767472743988
5,16,1631,0.6011796593666077,0.4921168088912964,0.3926878273487091
5,17,1727,0.5964155793190002,0.4746701121330261,0.4145084619522095
5,18,1823,0.5798547863960266,0.4539554715156555,0.4760563671588897
5,19,1919,0.5666969418525696,0.4474598467350006,0.5284130573272705
5,20,2015,0.5744101405143738,0.4259390830993652,0.6848964691162109
5,21,2111,0.5480943918228149,0.4248082637786865,0.615737795829773
5,22,2207,0.5567150712013245,0.4424369931221008,0.565262496471405
5,23,2303,0.5834845900535583,0.4521337747573852,0.5649680495262146
5,24,2399,0.5666969418525696,0.4366611838340759,0.6408107280731201
