fold,trained_epochs,stop_after_epoch,checkpoint_epoch,checkpoint_val_pr_auc,checkpoint_val_auroc,best_pr_auc_epoch,best_pr_auc,best_roc_auc_epoch,best_roc_auc,best_val_loss_epoch,best_val_loss,last_fit_pr_auc,last_fit_roc_auc,last_fit_val_loss,excluded_final_revalidation_epoch_field,metrics_csv
1,21,20,16,0.5233032703399658,0.5785181522369385,16,0.5233032703399658,16,0.5785181522369385,0,0.0689171552658081,0.4899487793445587,0.5524231195449829,0.429219901561737,21,/local/elopezl/AnyMC3D/checkpoints/anymc3d-dinov3-vitb-pmpd-v2/fold_1/lightning_logs/version_0/metrics.csv
2,24,23,1,0.5654318332672119,0.6387998461723328,1,0.5654318332672119,14,0.6722400188446045,3,0.0652697011828422,0.52363520860672,0.6555199027061462,0.3616402149200439,24,/local/elopezl/AnyMC3D/checkpoints/anymc3d-dinov3-vitb-pmpd-v2/fold_2/lightning_logs/version_0/metrics.csv
3,23,22,6,0.5693055987358093,0.5998185276985168,6,0.5693055987358093,11,0.6395190358161926,2,0.0670125409960746,0.5297924876213074,0.6098003387451172,0.4847849309444427,23,/local/elopezl/AnyMC3D/checkpoints/anymc3d-dinov3-vitb-pmpd-v2/fold_3/lightning_logs/version_0/metrics.csv
4,24,23,10,0.5096824169158936,0.5766787528991699,10,0.5096824169158936,11,0.5957350134849548,3,0.0682413950562477,0.466247409582138,0.5494555234909058,0.4960263669490814,24,/local/elopezl/AnyMC3D/checkpoints/anymc3d-dinov3-vitb-pmpd-v2/fold_4/lightning_logs/version_0/metrics.csv
5,25,24,4,0.5470365881919861,0.6277223229408264,4,0.5470365881919861,4,0.6277223229408264,4,0.0665075927972793,0.4366611838340759,0.5666969418525696,0.6408107280731201,25,/local/elopezl/AnyMC3D/checkpoints/anymc3d-dinov3-vitb-pmpd-v2/fold_5/lightning_logs/version_0/metrics.csv
