fold,auroc,pr_auc,brier,accuracy,sensitivity,specificity,precision,recall,f1,threshold,confusion_matrix,n,n_negative,n_positive
1,0.5785181733457596,0.5233032493672096,0.2900013660788126,0.631578947368421,0.32432432432432434,0.8275862068965517,0.5454545454545454,0.32432432432432434,0.4067796610169492,0.5,"[[48, 10], [25, 12]]",95,58,37
2,0.6387998167659185,0.5654318502661062,0.23334341247876486,0.6145833333333334,0.0,1.0,0.0,0.0,0.0,0.5,"[[59, 0], [37, 0]]",96,59,37
3,0.5998185117967332,0.5693056201535529,0.24488492806752524,0.5208333333333334,0.7105263157894737,0.39655172413793105,0.43548387096774194,0.7105263157894737,0.54,0.5,"[[23, 35], [11, 27]]",96,58,38
4,0.5766787658802178,0.5096823885208929,0.26355178157488507,0.5625,0.3684210526315789,0.6896551724137931,0.4375,0.3684210526315789,0.4,0.5,"[[40, 18], [24, 14]]",96,58,38
5,0.6277223230490019,0.5470365663740344,0.23213632901509604,0.6041666666666666,0.0,1.0,0.0,0.0,0.0,0.5,"[[58, 0], [38, 0]]",96,58,38
